,name,company,year,Price,kms_driven,fuel_type
427,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
428,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
429,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
430,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
431,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
432,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
433,BMW 5 Series,BMW,2011,1299000,49000,Diesel
434,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
435,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
436,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
437,Maruti Suzuki Zen,Maruti,2011,490000,16000,Petrol
438,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
439,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
440,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
441,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
442,Tata Nano GenX,Tata,2010,32000,44005,Petrol
443,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
444,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
445,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
446,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
447,Honda City SV,Honda,2017,760000,4000,Petrol
448,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
449,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
450,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
451,Honda City,Honda,2017,750000,3000,Petrol
452,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
453,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
454,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
455,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
456,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
457,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
458,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
459,Tata Indigo CS,Tata,2015,123000,100000,Diesel
460,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
461,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
462,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
463,Honda City,Honda,2015,499999,55000,Petrol
464,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
465,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
466,Tata Zest XE,Tata,2018,480000,103553,Diesel
467,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
468,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
469,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
470,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
471,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
472,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
473,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
474,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
475,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
476,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
477,Honda Mobilio S,Honda,2014,399000,44000,Diesel
478,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
479,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
480,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
481,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
482,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
483,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
484,Honda Amaze,Honda,2013,250000,55700,Diesel
485,Tata Indica,Tata,2005,80000,42000,Petrol
486,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
487,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
488,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
489,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
490,Honda Brio VX,Honda,2017,450000,11000,Petrol
491,Hyundai Xcent Base,Hyundai,2015,390000,180000,Diesel
492,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
493,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
494,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
495,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
496,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
497,Tata Nano Lx,Tata,2010,52000,9000,Petrol
498,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol
499,Hyundai Xcent S,Hyundai,2015,800000,35000,Petrol
500,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
501,Honda City 1.5,Honda,2014,499000,22000,Petrol
502,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
503,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
504,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
505,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
506,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
507,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
508,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
509,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
510,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
511,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
512,Toyota Innova 2.0,Toyota,2009,140000,15574,Diesel
513,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
514,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
515,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
516,Mitsubishi Lancer 1.8,Mitsubishi,2006,185000,50000,Petrol
517,Maruti Suzuki Maruti,Maruti,2001,180000,75000,Petrol
518,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
519,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
520,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
521,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
522,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
523,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
524,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
525,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
526,Audi A6 2.0,Audi,2012,1599000,11500,Diesel
527,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
528,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
529,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
530,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
531,Maruti Suzuki Baleno,Maruti,2016,425000,40000,Petrol
532,Hyundai Verna 1.6,Hyundai,2019,900000,2000,Petrol
533,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
534,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
535,Hyundai Santro,Hyundai,2000,91999,88000,Petrol
536,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
537,Chevrolet Beat PS,Chevrolet,2012,215000,65422,Diesel
538,Ford EcoSport Trend,Ford,2017,580000,10000,Petrol
539,Maruti Suzuki Dzire,Maruti,2013,380000,35000,Petrol
540,Hyundai Fluidic Verna,Hyundai,2013,350000,117000,Diesel
541,Tata Indica V2,Tata,2005,135000,150000,Diesel
542,BMW X1 xDrive20d,BMW,2011,1150000,72000,Diesel
543,Hyundai i20 Asta,Hyundai,2010,300000,10750,Petrol
544,Honda City 1.5,Honda,2009,269000,55000,Petrol
545,Tata Nano,Tata,2013,60000,6800,Petrol
546,Chevrolet Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
547,Hyundai Verna Fluidic,Hyundai,2015,430000,73000,Diesel
548,Hyun,Hyundai,2012,390000,20000,Petrol
549,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
550,Mahindra XUV500 W6,Mahindra,2014,8500003,45000,Diesel
551,Mahindra XUV500 W10,Mahindra,2018,1299000,40000,Diesel
552,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
553,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
554,Force Motors One,Force,2013,250000,140000,Diesel
555,Datsun Go Plus,Datsun,2016,670500,5000,Petrol
556,Maruti Suzuki Alto,Maruti,2019,265000,9800,Petrol
557,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
558,Hyundai i10,Hyundai,2009,215000,27000,Petrol
559,Toyota Etios Liva,Toyota,2012,380000,20000,Diesel
560,Renault Duster 85PS,Renault,2013,401919,57923,Diesel
561,Chevrolet Enjoy,Chevrolet,2014,490000,30201,Diesel
562,Maruti Suzuki Alto,Maruti,2017,280000,6200,Petrol
563,BMW 5 Series,BMW,2009,650000,37518,Petrol
564,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
565,Mahindra Jeep MM,Mahindra,2004,424000,383,Diesel
566,Chevrolet Beat LS,Chevrolet,2016,225000,95000,Diesel
567,Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
568,Jeep Wrangler Unlimited,Jeep,2015,950000,3528,Diesel
569,Maruti Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
570,Hyundai Verna VGT,Hyundai,2010,205000,47900,Diesel
571,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
572,Maruti Suzuki Celerio,Maruti,2018,310000,37000,Petrol
573,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
574,Mahindra XUV500 W6,Mahindra,2013,549900,52800,Diesel
575,Tata Indigo CS,Tata,2016,150000,104000,Diesel
576,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
577,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
578,Tata Indigo LX,Tata,2016,230000,104000,Diesel
579,Tata Indigo eCS,Tata,2016,230000,104000,Diesel
580,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
581,Lamborghini Urus,Lamborghini,2018,42250000,10000,Diesel
582,Hyundai Xcent SX,Hyundai,2015,400000,43000,Diesel
583,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
584,Renault Duster 85,Renault,2015,385000,51000,Diesel
585,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
586,Tata Nano LX,Tata,2010,32000,48008,Petrol
587,Lamborghini Hurricane,Lamborghini,2019,33371500,60000,Diesel
588,Renault Duster 110,Renault,2013,435000,39000,Diesel
589,Maruti Suzuki Wagon,Maruti,2010,225000,40000,Petrol
590,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
591,Maruti Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
592,Maruti Suzuki Swift,Maruti,2014,365000,23000,Petrol
593,Maruti Suzuki Alto,Maruti,2017,360000,9400,Petrol
594,Hyundai i20 Magna,Hyundai,2010,210000,50000,Petrol
595,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol
596,tata Indica,tata,2010,130000,68000,Petrol
597,Tata Zest XE,Tata,2017,380000,70000,Diesel
598,Mahindra Xylo E8,Mahindra,2009,295000,64000,Diesel
599,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
600,Tata Manza Aqua,Tata,2014,160000,200000,Diesel
601,Ferrari Roma,Ferrari,2010,9255000,19000,Diesel
602,Renault Kwid 1.0,Renault,2018,290000,2137,Petrol
603,Ferrari Portofinio,Ferrari,2017,43100000,29000,Diesel
604,Tata Venture EX,Tata,2013,100000,30000,Diesel
605,Maruti Suzuki Swift,Maruti,2014,315000,44000,Petrol
606,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
607,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
608,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
609,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
610,Hyundai Verna 1.6,Hyundai,2018,855000,42000,Diesel
611,Tata Sumo Gold,Tata,2012,210000,75000,Diesel
612,Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
613,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
614,Maruti Suzuki Swift,Maruti,2011,255000,64000,Petrol
615,Mahindra Scorpio SLX,Mahindra,2008,300000,70000,Diesel
616,Hyundai Grand i10,Hyundai,2014,340000,25000,Petrol
617,Hyundai Elite i20,Hyundai,2017,550000,15000,Petrol
618,Ford Ikon 1.6,Ford,2003,160000,50000,Petrol
619,Hyundai Elite i20,Hyundai,2015,190000,49500,Petrol
620,Tata indigo,Tata,2015,150000,30000,Petrol
621,Toyota Innova 2.5,Toyota,2011,750000,147000,Diesel
622,Nissan Sunny XL,Nissan,2011,230000,52000,Petrol
623,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
624,Maruti Suzuki Alto,Maruti,2017,270000,21000,Petrol
625,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
626,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
627,Maruti Suzuki Swift,Maruti,2012,280000,48006,Diesel
628,Ferrari 812,Ferrari,2016,27200000,45890,Diesel
629,Toyota Innova 2.0,Toyota,2012,600000,80000,Diesel
630,Ferrari SF90,Ferrari,2018,60000000,44000,Diesel
631,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
632,Hyundai Elite i20,Hyundai,2015,500000,22000,Petrol
633,Mahindra XUV500 W10,Mahindra,2016,1065000,41000,Diesel
634,Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,Diesel
635,Toyota Etios Liva,Toyota,2012,350000,85000,Diesel
636,Mahindra TUV300 T4,Mahindra,2016,540000,29500,Diesel
637,Hyundai Elite i20,Hyundai,2015,470000,30000,Petrol
638,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
639,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
640,Maruti Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
641,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
642,Hyundai Elantra 1.8,Hyundai,2012,500000,65000,Petrol
643,Maruti Suzuki Swift,Maruti,2010,270000,67000,Diesel
644,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
645,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
646,Hyundai Grand i10,Hyundai,2016,380000,27000,Petrol
647,Hyundai Verna Fluidic,Hyundai,2011,365000,43000,Diesel
648,Ford EcoSport Trend,Ford,2014,465000,47000,Petrol
649,Hyundai i20 Magna,Hyundai,2011,240000,42000,Petrol
650,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
651,Tata Indica eV2,Tata,2015,140000,60105,Diesel
652,Jaguar XF 2.2,Jaguar,2013,2190000,29000,Diesel
653,Audi Q5 2.0,Audi,2014,2390000,34000,Diesel
654,BMW 3 Series,BMW,2011,1075000,35000,Diesel
655,Maruti Suzuki Swift,Maruti,2015,475000,22000,Petrol
656,BMW X1 sDrive20d,BMW,2012,1025000,41000,Diesel
657,Maruti Suzuki S,Maruti,2016,615000,21000,Diesel
658,Maruti Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
659,Maruti Suzuki Alto,Maruti,2016,270000,38000,Petrol
660,Honda City SV,Honda,2014,475000,34000,Diesel
661,Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
662,Honda City 1.5,Honda,2005,120000,68000,Petrol
663,Audi A4 2.0,Audi,2016,1900000,44000,Diesel
664,Mahindra KUV100,Mahindra,2017,360000,35000,Diesel
665,Tata Zest XE,Tata,2018,450000,102563,Diesel
666,Mahindra XUV500 W8,Mahindra,2015,900000,28600,Diesel
667,Maruti Suzuki Swift,Maruti,2017,650000,41800,Diesel
668,Tata Sumo Gold,Tata,2014,275000,116000,Diesel
669,Maruti Suzuki Swift,Maruti,2009,210000,59000,Petrol
670,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
671,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
672,Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel
673,Renault Duster,Renault,2014,800000,7400,Diesel
674,Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
675,Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
676,Audi A4 2.0,Audi,2013,1510000,27000,Diesel
677,Volvo S80 Summum,Volvo,2015,1850000,42000,Diesel
678,Toyota Corolla Altis,Toyota,2014,790000,29000,Petrol
679,Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
680,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol
681,BMW X1,BMW,2011,1000000,34000,Diesel
682,Datsun Redi GO,Datsun,2018,299999,7000,Petrol
683,Mercedes Benz C,Mercedes,2009,1225000,76000,Diesel
684,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
685,Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
686,Tata Indigo CS,Tata,2017,270000,50000,Diesel
687,Ford Figo Petrol,Ford,2019,525000,0,Petrol
688,Honda City ZX,Honda,2006,180000,50000,Petrol
689,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
690,Ford EcoSport Trend,Ford,2014,400000,16000,Petrol
691,Maruti Suzuki Swift,Maruti,2016,499000,51000,Diesel
692,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
693,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
694,Renault Duster RxL,Renault,2015,550000,36000,Petrol
695,Maruti Suzuki Swift,Maruti,2014,370000,11523,Petrol
696,Maruti Suzuki Baleno,Maruti,2018,690000,1000,Petrol
697,Honda WR V,Honda,2009,250000,60000,Petrol
698,Tata Indigo CS,Tata,2016,110000,85000,Diesel
699,Renault Duster 110,Renault,2013,490000,38600,Diesel
700,Mahindra Scorpio LX,Mahindra,2009,320000,95500,Diesel
701,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
702,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
703,Maruti Suzuki SX4,Maruti,2016,970000,85960,Diesel
704,Audi A3 Cabriolet,Audi,2015,3100000,12516,Petrol
705,Hyundai Eon D,Hyundai,2018,280000,35000,Petrol
706,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
707,Mahindra Scorpio SLX,Mahindra,2008,285000,80000,Diesel
708,Bugati Divo,Bugati,2017,291475000,40000,Diesel
709,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol
710,Bugatti Veyron,Bugatti,2019,89320000,29000,Petrol
711,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel
712,Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
713,Bentley flying spur,Bentley,2014,23370000,50000,Diesel
714,Mahindra Xylo D2,Mahindra,2011,390000,48000,Diesel
715,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
716,Chevrolet Beat LT,Chevrolet,2015,215000,90000,Diesel
717,Maruti Suzuki Swift,Maruti,2015,475000,43000,Diesel
718,Mahindra XUV500 W8,Mahindra,2015,899000,53000,Diesel
719,Toyota Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
720,Maruti Suzuki Alto,Maruti,2013,240000,20000,Petrol
721,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
722,Maruti Suzuki Swift,Maruti,2014,260000,120000,Diesel
723,Hyundai Creta 1.6,Hyundai,2019,1200000,0,Petrol
724,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
725,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
726,Mahindra Xylo D2,Mahindra,2011,390000,56000,Diesel
727,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
728,Tata Indica V2,Tata,2009,90000,30600,Diesel
729,Hyundai i10 Sportz,Hyundai,2011,220000,38000,Petrol
730,Hyundai Grand i10,Hyundai,2017,424999,2550,Petrol
731,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
732,Honda City 1.5,Honda,2005,95000,41000,Petrol
733,Nissan Micra XL,Nissan,2017,430000,62500,Diesel
734,Honda City 1.5,Honda,2005,115000,68000,Petrol
735,Maruti Suzuki Alto,Maruti,2015,215000,50000,Petrol
736,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
737,Maruti Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
738,Tata Indica eV2,Tata,2012,85000,55000,Diesel
739,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
740,Hyundai Eon Era,Hyundai,2014,200000,28400,Petrol
741,Hyundai Eon,Hyundai,2014,200000,28000,Petrol
742,Maruti Suzuki Swift,Maruti,2015,425000,42000,Diesel
743,Jaguar XE,Jaguar,2017,36650000,10000,Diesel
744,Hyundai Verna 1.6,Hyundai,2012,600000,29000,Diesel
745,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
746,Tata Tiago Revotron,Tata,2018,430000,3500,Petrol
747,Tata Tiago Revotorq,Tata,2019,568500,0,Petrol
748,Tata Nexon,Tata,2019,888000,1000,Petrol
749,Porsche 911,Porsche,2016,9999000,10000,Diesel
750,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
751,Mahindra KUV100 K8,Mahindra,2018,560000,8000,Diesel
752,Ford EcoSport Titanium,Ford,2014,590000,34000,Diesel
753,Hindustan Motors Ambassador,Hindustan,1995,750000,37000,Petrol
754,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
755,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
756,Hyundai Santro,Hyundai,2002,60000,47000,Petrol
757,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol
758,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
759,Maruti Suzuki Omni,Maruti,2017,240000,8000,Petrol
760,Tata Indica V2,Tata,2012,115000,64000,Diesel
761,Mahindra Scorpio S4,Mahindra,2015,795000,63000,Diesel
762,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
763,Mahindra Xylo D2,Mahindra,2009,300000,62000,Diesel
764,Hyundai Grand i10,Hyundai,2014,320000,41000,Petrol
765,Maruti Suzuki Alto,Maruti,2015,265000,14000,Petrol
766,Toyota Corolla,Toyota,2006,160000,40000,Petrol
767,Hyundai Eon Magna,Hyundai,2017,300000,1600,Petrol
768,Tata Sumo Grande,Tata,2010,130000,90000,Diesel
769,Maruti Suzuki Swift,Maruti,2011,250000,58000,Diesel
770,Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
771,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
772,Tata Tiago Revotron,Tata,2017,400000,31000,Petrol
773,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
774,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
775,Tata Indigo eCS,Tata,2016,130000,150000,Diesel
776,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel
777,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel
778,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
779,Tata Sumo Gold,Tata,2013,215000,100000,Petrol
780,Aston Martin DBX,AstonMartin,2018,23220000,13000,Diesel
781,Maruti Suzuki Alto,Maruti,2019,95000,12000,Petrol
782,Maserati MC 20,Maserati,2016,33000000,24000,Diesel
783,Tesla Model X,Tesla,2019,11110000,20000,Petrol
784,Tata Nano,Tata,2013,60000,7000,Petrol
785,Hyundai Elite i20,Hyundai,2017,599999,31000,Petrol
786,Hyundai i10 Magna,Hyundai,2009,400000,33000,Petrol
787,Hyundai Creta,Hyundai,2016,900000,60000,Diesel
788,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel
789,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Petrol
790,Tata Bolt XM,Tata,2015,600000,15000,Petrol
791,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
792,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
793,Hyundai Venue,Hyundai,2019,450000,7000,Diesel
794,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
795,Maruti Suzuki Alto,Maruti,2017,225000,12500,Petrol
796,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Petrol
797,Renault Lodgy,Renault,2016,610000,20000,Diesel
798,Hyundai i20 Asta,Hyundai,2014,425000,31000,Petrol
799,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
800,Tata Indica V2,Tata,2005,60000,80000,Diesel
801,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel
802,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel
803,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel
804,Hyundai i20 Magna,Hyundai,2011,230000,47000,Petrol
805,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
806,Mahindra KUV100,Mahindra,2016,380000,26500,Petrol
807,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Petrol
808,Datsun Go Plus,Datsun,2016,285000,13900,Petrol
809,Ford Endeavor 4x4,Ford,2019,2900000,9000,Diesel
810,Tata Indica V2,Tata,2005,39999,80000,Diesel
811,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol
812,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Petrol
813,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
814,Maruti Suzuki Alto,Maruti,2019,400000,1500,Petrol
815,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel
816,Tesla Cybertruck,Tesla,2016,7170000,10000,Diesel
817,Maruti Suzuki Alto,Maruti,2016,250000,2450,Petrol
818,Maruti Suzuki Alto,Maruti,2019,425000,1625,Petrol
819,Maruti Suzuki Alto,Maruti,2019,600000,1500,Petrol
820,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
821,Mahindra Logan,Mahindra,2009,130000,65000,Diesel
822,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
823,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel
824,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Petrol
825,Rolls Royce wraith,RollRoyce,2015,50000000,38900,Diesel
826,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol
827,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
828,Hyundai Eon,Hyundai,2018,260000,25000,Petrol
829,Tata Manza,Tata,2015,100000,100000,Diesel
830,Rolls Royce Phantom,RollRoyce,2019,60000000,4000,Diesel
831,Toyota Etios G,Toyota,2013,265000,42000,Petrol
832,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
833,Toyota Qualis,Toyota,2003,180000,100000,Diesel
834,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
835,Tata Indica eV2,Tata,2016,50500,91200,Diesel
836,Honda City 1.5,Honda,2009,270000,55000,Petrol
837,Tata Zest XE,Tata,2017,290000,120000,Diesel
838,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel
839,Tata Indigo eCS,Tata,2016,160000,104000,Diesel
840,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel
841,Hyundai Elite i20,Hyundai,2011,290000,40000,Petrol
842,Hyundai i20 Select,Hyundai,2011,290000,40000,Petrol
843,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel
844,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel
845,Hyundai Elite i20,Hyundai,2018,510000,2100,Petrol
846,Honda City VX,Honda,2016,860000,95000,Petrol
847,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel
